Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal
Silver,Primary,Landfilled,322.03,16.37,114.32,162.47,25.01,1.07,0.39,1199.39,27.39,0.01
Gold,Recycled,Reused,312.78,25.7,258.03,191.97,39.22,4.4,0.4,4056.81,12.66,0.03
Lead,Hybrid,Reused,73.84,6.75,1.03,137.65,76.6,2.46,0.73,1.48,8.5,0.11
Silver,Hybrid,Reused,175.13,15.94,62.59,122.71,35.32,4.53,0.35,1414.48,17.36,0.02
Tin,Recycled,Recycled,58.23,1.13,3.31,133.35,38.21,1.17,0.19,16.01,10.39,0.09
Silver,Recycled,Landfilled,270.81,15.1,64.5,80.88,20.02,4.55,0.55,1451.06,7.79,0.05
Steel,Primary,Landfilled,67.71,2.6,3.95,272.9,78.98,1.12,0.31,1.03,18.07,0.05
Gold,Recycled,Reused,382.45,33.69,267.29,96.39,57.84,3.69,0.36,4073.12,13.39,0.03
Copper,Primary,Recycled,73.62,8.63,14.13,155.7,7.85,1.83,0.15,7.94,18.04,0.19
Zinc,Recycled,Reused,100.54,7.84,3.46,240.37,68.57,1.47,0.41,2.02,5.94,0.09
Steel,Hybrid,Recycled,51.46,1.67,5.66,387.07,58.18,2.23,0.27,1.58,36.39,0.13
Aluminium,Hybrid,Reused,59.71,7.11,19.17,230.74,21.78,5.67,0.67,2.68,11.39,0.08
Steel,Hybrid,Landfilled,64.47,4.88,9.55,119.02,81.11,2.21,0.44,1.21,28.34,0.05
Aluminium,Recycled,Recycled,62.27,11.09,9.31,302.25,85.21,6.69,0.4,2.03,18.72,0.24
Nickel,Primary,Recycled,163.43,10.26,10.07,393.8,24.26,5.51,0.29,14.88,7.27,0.18
Nickel,Primary,Landfilled,68.55,5.26,8.84,402.49,79.91,5.64,0.14,11.46,10.85,0.24
Tin,Recycled,Reused,52.83,4.05,4.76,235.54,64.05,2.36,0.51,20.0,11.04,0.07
Copper,Recycled,Landfilled,97.44,4.39,9.93,178.06,58.08,2.98,0.5,5.66,19.7,0.08
Steel,Recycled,Landfilled,96.34,1.71,2.02,196.38,46.61,8.45,0.23,1.08,20.35,0.07
Silver,Hybrid,Reused,181.17,19.66,107.14,79.65,62.55,1.88,0.31,742.16,24.09,0.03
Tin,Recycled,Reused,72.52,4.59,4.0,286.0,29.83,2.5,0.59,23.77,12.5,0.08
Lead,Recycled,Reused,36.26,2.94,3.42,138.69,79.55,6.28,0.35,1.93,7.84,0.12
Tin,Primary,Recycled,59.97,1.74,1.89,128.74,37.14,2.08,0.53,17.48,13.05,0.06
Cobalt,Primary,Landfilled,52.86,5.23,11.99,209.41,42.56,1.67,0.22,31.25,5.81,0.17
Gold,Recycled,Landfilled,385.78,20.03,141.91,119.28,78.3,1.75,0.56,3007.26,16.78,0.02
Copper,Hybrid,Reused,47.0,7.94,9.42,208.25,61.0,3.0,0.28,7.21,17.28,0.13
Lead,Primary,Landfilled,59.3,3.03,7.85,158.9,26.8,5.53,0.38,2.44,12.14,0.07
Aluminium,Hybrid,Reused,141.71,8.22,16.8,311.69,69.11,2.91,0.43,2.1,9.34,0.23
Cobalt,Hybrid,Recycled,128.72,5.37,4.17,129.33,64.71,3.0,0.52,31.49,10.69,0.19
Cobalt,Hybrid,Landfilled,82.24,6.24,12.24,314.49,62.97,3.44,0.37,21.89,5.53,0.12
Zinc,Hybrid,Landfilled,38.9,6.5,10.26,126.34,26.81,4.18,0.3,2.25,14.14,0.14
Silver,Hybrid,Landfilled,157.35,23.56,75.77,192.99,66.51,4.59,0.15,868.61,18.69,0.02
Tin,Hybrid,Landfilled,64.17,3.57,5.62,268.81,10.08,3.19,0.49,20.26,12.75,0.07
Tin,Hybrid,Landfilled,22.29,2.09,2.01,172.7,14.06,4.52,0.47,15.15,13.12,0.02
Copper,Hybrid,Landfilled,56.4,6.98,14.59,348.54,26.23,1.66,0.18,6.55,22.23,0.16
Tin,Hybrid,Landfilled,57.43,2.17,3.23,147.07,35.08,4.13,0.26,19.25,6.05,0.07
Gold,Primary,Recycled,451.45,35.52,177.63,79.54,88.04,3.39,0.11,4790.13,37.74,0.03
Tin,Primary,Landfilled,78.31,4.26,2.49,132.69,33.34,4.44,0.11,24.09,5.9,0.08
Gold,Primary,Reused,358.0,29.95,274.02,84.13,61.58,4.54,0.38,4178.46,40.75,0.03
Aluminium,Primary,Reused,195.02,8.45,19.0,395.32,53.08,6.85,0.41,2.16,6.11,0.07
Zinc,Recycled,Reused,47.53,4.05,6.63,264.81,78.16,3.03,0.29,3.13,8.6,0.05
Aluminium,Hybrid,Reused,119.92,4.74,18.47,292.5,58.28,4.16,0.31,2.76,15.77,0.29
Silver,Recycled,Recycled,246.61,14.96,62.5,194.19,21.27,4.6,0.3,865.02,17.4,0.02
Silver,Primary,Recycled,277.37,18.41,80.83,73.28,70.52,4.88,0.24,1444.73,15.34,0.05
Copper,Primary,Reused,109.88,5.72,4.88,243.58,62.89,5.24,0.56,6.73,11.28,0.13
Zinc,Recycled,Reused,78.52,5.26,11.35,202.79,45.81,5.81,0.68,3.14,14.09,0.19
Cobalt,Recycled,Reused,90.68,8.44,7.36,158.03,40.16,4.66,0.1,23.59,19.77,0.13
Zinc,Hybrid,Recycled,68.03,5.95,4.2,210.17,55.07,4.93,0.41,2.7,11.39,0.16
Tin,Primary,Recycled,47.13,1.89,4.83,282.37,42.4,2.39,0.46,21.31,11.84,0.09
Aluminium,Hybrid,Recycled,172.4,7.47,10.3,414.44,42.39,7.4,0.33,2.58,18.89,0.08
Gold,Primary,Landfilled,478.19,24.75,107.52,119.2,41.13,2.73,0.38,3888.48,43.43,0.03
Tin,Recycled,Reused,54.25,1.89,5.54,256.96,13.82,1.91,0.38,19.39,9.05,0.04
Nickel,Recycled,Recycled,130.55,14.88,7.88,310.38,39.77,3.59,0.36,18.71,8.32,0.17
Cobalt,Recycled,Reused,70.05,7.9,10.61,225.65,63.11,4.92,0.27,34.92,5.42,0.06
Gold,Primary,Landfilled,368.17,37.11,155.8,105.85,41.13,4.76,0.34,4935.26,39.94,0.02
Tin,Primary,Reused,26.63,3.46,5.35,251.12,43.78,4.25,0.29,15.9,8.83,0.06
Zinc,Hybrid,Reused,92.92,2.93,2.67,274.86,61.65,1.89,0.46,2.24,13.47,0.18
Lead,Recycled,Landfilled,77.1,4.77,3.17,233.3,74.99,5.02,0.32,1.8,10.96,0.13
Gold,Recycled,Reused,496.5,21.02,239.96,174.56,52.79,3.97,0.43,3709.33,12.03,0.01
Gold,Primary,Landfilled,322.26,36.52,285.29,122.7,55.0,4.57,0.42,4627.61,37.92,0.01
Steel,Recycled,Landfilled,79.2,5.59,6.06,123.3,66.33,7.47,0.61,1.2,28.89,0.14
Gold,Recycled,Recycled,348.62,38.75,156.05,94.64,21.95,2.36,0.13,3167.73,31.77,0.01
Lead,Primary,Reused,36.49,3.07,5.41,86.94,79.36,6.06,0.58,1.88,9.82,0.12
Steel,Recycled,Recycled,85.87,7.39,9.52,138.66,60.29,8.13,0.5,1.99,37.85,0.14
Silver,Hybrid,Recycled,193.12,20.48,67.77,181.93,49.69,1.39,0.24,974.06,8.9,0.03
Tin,Hybrid,Reused,64.44,5.11,2.15,105.84,35.61,3.57,0.24,17.79,8.85,0.07
Zinc,Primary,Reused,37.54,2.49,9.71,192.39,33.62,5.9,0.16,3.86,14.77,0.07
Tin,Primary,Reused,40.33,3.34,1.89,258.85,16.67,3.6,0.12,17.68,14.69,0.02
Tin,Recycled,Reused,36.42,3.61,2.68,179.41,66.46,4.18,0.38,16.97,9.87,0.08
Zinc,Hybrid,Reused,69.0,2.36,7.05,159.94,41.77,1.55,0.54,3.78,5.22,0.04
Tin,Hybrid,Landfilled,35.78,4.85,1.06,203.77,19.86,3.77,0.59,20.95,13.77,0.04
Nickel,Primary,Recycled,75.07,10.53,7.19,231.2,42.67,1.22,0.5,17.28,19.1,0.11
Copper,Recycled,Recycled,69.47,3.17,14.61,339.53,42.33,3.14,0.49,7.2,15.59,0.03
Gold,Hybrid,Recycled,355.14,36.36,211.53,73.51,42.48,2.83,0.25,3192.18,24.16,0.04
Nickel,Hybrid,Reused,113.94,6.34,14.24,306.04,20.22,1.13,0.49,12.3,15.24,0.15
Cobalt,Hybrid,Recycled,76.42,10.1,5.22,123.69,44.81,2.65,0.38,21.56,12.53,0.05
Copper,Primary,Recycled,142.75,9.38,4.36,254.18,15.79,5.11,0.44,6.77,6.16,0.2
Gold,Primary,Landfilled,357.24,31.86,279.21,187.98,40.23,1.35,0.18,3579.45,33.2,0.05
Aluminium,Recycled,Reused,75.88,9.47,11.1,495.16,29.45,2.92,0.65,2.65,6.37,0.16
Gold,Hybrid,Landfilled,385.58,27.06,216.8,186.69,66.1,3.31,0.55,3274.56,22.67,0.03
Copper,Recycled,Landfilled,122.43,4.16,14.43,336.57,21.93,4.31,0.67,5.11,23.73,0.19
Nickel,Primary,Reused,169.65,9.83,6.85,139.91,34.16,4.35,0.26,14.11,9.7,0.21
Cobalt,Primary,Recycled,81.73,7.21,12.69,378.84,33.56,4.18,0.34,32.97,17.99,0.14
Lead,Hybrid,Reused,86.37,6.98,2.98,80.72,39.87,6.43,0.54,1.35,9.93,0.12
Gold,Recycled,Reused,426.58,25.6,103.37,144.18,25.26,5.12,0.47,4121.47,40.67,0.04
Aluminium,Recycled,Reused,72.6,4.65,7.77,488.53,62.63,6.46,0.23,2.63,7.55,0.23
Copper,Primary,Recycled,88.9,8.59,5.81,330.61,56.32,1.64,0.58,5.36,9.05,0.13
Silver,Primary,Recycled,224.63,18.99,138.29,120.77,33.55,4.34,0.33,1451.32,16.83,0.02
Cobalt,Hybrid,Landfilled,84.82,4.53,9.05,204.56,29.34,2.04,0.32,28.43,19.76,0.1
Gold,Primary,Landfilled,430.84,32.0,156.81,51.18,62.86,3.28,0.18,4295.28,31.06,0.02
Aluminium,Primary,Landfilled,175.84,11.61,15.48,370.6,44.29,5.28,0.17,2.35,11.23,0.11
Silver,Primary,Recycled,184.69,10.09,100.44,160.27,45.24,1.49,0.48,1362.64,19.67,0.03
Nickel,Primary,Landfilled,116.25,6.28,7.13,187.76,34.87,3.59,0.4,18.58,17.12,0.04
Silver,Recycled,Recycled,316.37,13.27,96.47,142.01,58.75,1.2,0.54,1320.95,12.79,0.01
Silver,Primary,Reused,329.6,15.03,96.66,74.48,43.26,3.73,0.26,1239.24,5.19,0.02
Steel,Hybrid,Reused,37.88,3.39,2.31,390.58,69.78,5.19,0.4,0.65,17.94,0.08
Steel,Hybrid,Reused,90.38,3.61,5.42,319.45,64.04,4.11,0.37,1.85,36.5,0.04
Cobalt,Recycled,Landfilled,56.63,6.27,7.25,241.24,68.02,2.96,0.36,36.46,5.95,0.17
Aluminium,Primary,Reused,131.67,6.62,10.35,247.24,25.74,1.54,0.23,1.83,9.31,0.2
Silver,Primary,Landfilled,248.19,22.99,70.33,140.62,61.51,2.15,0.36,1354.35,22.98,0.02
Copper,Hybrid,Reused,111.38,7.06,12.15,384.19,19.52,2.26,0.69,7.52,9.47,0.09
Aluminium,Primary,Recycled,115.15,9.7,10.0,334.23,23.56,4.32,0.54,2.85,19.72,0.26
Silver,Recycled,Reused,154.57,20.51,63.14,86.83,52.13,2.63,0.58,819.62,5.21,0.04
Lead,Recycled,Reused,36.58,3.34,2.84,178.05,47.27,2.03,0.38,1.62,13.78,0.03
Nickel,Hybrid,Recycled,164.28,5.22,7.67,384.92,42.34,5.43,0.21,12.66,7.18,0.24
Copper,Hybrid,Landfilled,70.17,9.17,10.57,259.28,37.6,1.09,0.65,5.79,6.4,0.1
Nickel,Hybrid,Landfilled,112.77,13.93,17.74,311.57,49.42,4.39,0.21,15.9,11.48,0.21
Copper,Recycled,Reused,69.67,4.76,9.24,352.5,76.83,4.4,0.6,5.37,5.22,0.11
Zinc,Hybrid,Landfilled,46.65,6.8,8.14,311.94,69.0,2.28,0.19,3.12,13.78,0.07
Aluminium,Primary,Recycled,118.09,10.38,16.84,400.04,72.44,3.42,0.42,1.68,11.63,0.09
Zinc,Hybrid,Recycled,63.14,6.38,9.95,326.12,20.03,1.31,0.18,2.4,11.13,0.12
Aluminium,Primary,Reused,73.27,8.78,18.06,279.18,42.04,3.8,0.54,2.34,18.86,0.15
Lead,Hybrid,Landfilled,77.78,5.16,4.1,146.02,33.01,1.57,0.47,1.98,13.46,0.06
Aluminium,Primary,Reused,89.96,4.68,16.48,245.12,30.32,1.02,0.49,2.58,7.88,0.1
Zinc,Recycled,Recycled,66.85,3.22,8.46,237.09,21.7,1.11,0.56,2.68,8.21,0.07
Tin,Primary,Landfilled,73.77,1.36,4.9,137.69,78.05,1.23,0.2,18.7,5.4,0.09
